epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2406.37,1.03802,1.03012,1.17951,0.58981,0.81753,0.65446,0.45658,1.05395,1.02786,1.30407,0.000848969,0.000848969,0.000848969
43,2463.25,1.0101,0.99905,1.1463,0.52526,0.71436,0.58111,0.39426,1.11661,1.23038,1.32053,0.000834822,0.000834822,0.000834822
44,2519.93,1.02498,1.00493,1.16764,0.58498,0.83296,0.63842,0.4438,1.07341,1.03402,1.28599,0.000820675,0.000820675,0.000820675
45,2576.67,1.0164,0.96817,1.16669,0.59019,0.83383,0.62394,0.42575,1.12935,1.07897,1.30365,0.000806528,0.000806528,0.000806528
46,2633.29,0.99207,0.9945,1.15348,0.60014,0.80452,0.63893,0.44888,1.07691,1.05378,1.27189,0.00079238,0.00079238,0.00079238
47,2690.02,0.98305,0.93322,1.14838,0.56728,0.82322,0.64409,0.45194,1.11687,1.03083,1.31337,0.000778233,0.000778233,0.000778233
48,2746.84,0.97095,0.96511,1.14114,0.54752,0.79636,0.61928,0.42012,1.16536,1.09525,1.35431,0.000764086,0.000764086,0.000764086
49,2803.7,1.01866,0.97179,1.17167,0.62097,0.77764,0.64146,0.44689,1.08571,1.04492,1.28847,0.000749939,0.000749939,0.000749939
50,2860.49,0.99505,0.97184,1.13875,0.63954,0.80881,0.65524,0.45063,1.07324,1.0134,1.26567,0.000735792,0.000735792,0.000735792
51,2917.41,0.96368,0.91877,1.13324,0.5812,0.78933,0.61322,0.43123,1.08257,1.06293,1.2822,0.000721645,0.000721645,0.000721645
52,2974.21,0.94407,0.93517,1.13333,0.56328,0.74678,0.55794,0.38342,1.05887,1.18691,1.24846,0.000707498,0.000707498,0.000707498
53,3030.99,0.9504,0.94113,1.14385,0.58574,0.82387,0.64393,0.44088,1.1088,1.01411,1.29637,0.000693351,0.000693351,0.000693351
54,3087.43,0.94963,0.93149,1.12383,0.5716,0.83094,0.63226,0.42658,1.15966,1.01396,1.32798,0.000679204,0.000679204,0.000679204
55,3144.1,0.94642,0.90005,1.12556,0.58772,0.84364,0.65189,0.45713,1.06093,0.97281,1.27916,0.000665057,0.000665057,0.000665057
56,3200.07,0.92362,0.91944,1.12549,0.60958,0.82625,0.64916,0.44837,1.07086,1.0107,1.28902,0.000650909,0.000650909,0.000650909
57,3256.79,0.92437,0.89736,1.10941,0.58321,0.83879,0.64929,0.4555,1.03475,0.99377,1.23608,0.000636762,0.000636762,0.000636762
58,3312.73,0.917,0.91139,1.12435,0.59892,0.78815,0.64173,0.44465,1.07456,0.99328,1.2904,0.000622615,0.000622615,0.000622615
59,3369.16,0.9207,0.913,1.11245,0.57586,0.80514,0.62241,0.42212,1.11842,1.05751,1.3029,0.000608468,0.000608468,0.000608468
60,3425.48,0.91452,0.88204,1.09737,0.60571,0.787,0.65751,0.47015,1.05765,0.93722,1.24169,0.000594321,0.000594321,0.000594321
61,3481.91,0.92402,0.93684,1.11835,0.58958,0.84187,0.64932,0.4632,1.03302,0.98469,1.25241,0.000580174,0.000580174,0.000580174
62,3538,0.93707,0.90971,1.13003,0.54392,0.81124,0.61834,0.43415,1.06733,0.99594,1.26598,0.000566027,0.000566027,0.000566027
63,3594.26,0.9159,0.90041,1.11235,0.56824,0.73254,0.62372,0.42368,1.12238,1.05249,1.30335,0.00055188,0.00055188,0.00055188
64,3650.52,0.89567,0.8961,1.10499,0.57206,0.76911,0.61228,0.42673,1.09238,1.0987,1.27128,0.000537733,0.000537733,0.000537733
65,3706.76,0.8885,0.89315,1.09674,0.55137,0.83505,0.64396,0.45114,1.08032,0.98344,1.26864,0.000523586,0.000523586,0.000523586
66,3763.04,0.88567,0.88295,1.09694,0.55292,0.85403,0.64057,0.45523,1.06286,1.00262,1.25453,0.000509438,0.000509438,0.000509438
67,3819.21,0.86956,0.86127,1.08919,0.56417,0.82602,0.61531,0.43516,1.03832,1.0579,1.25686,0.000495291,0.000495291,0.000495291
